Player,Previous_Season_Archetype,New_Season_Archetype,Changed Archetype?,Previous_Cluster,New_Cluster,Key Statistical Changes,Notes / Interpretation
Nickeil Alexander-Walker,Low-Usage Role Players,Primary Shot Creators,TRUE,4,7,STL up 2.01 z; FGA up 2.00 z; FG up 1.90 z; FT up 1.80 z; 3P up 1.72 z,Archetype changed; biggest standardized shifts: STL up 2.01 z; FGA up 2.00 z; FG up 1.90 z; FT up 1.80 z; 3P up 1.72 z
Nikola Jokić,Superstar Offensive Hubs,Interior Bigs,TRUE,5,3,Trp-Dbl down 11.03 z; STL down 1.41 z; FG down 0.98 z; 2P down 0.86 z; 2PA down 0.84 z,Archetype changed; biggest standardized shifts: Trp-Dbl down 11.03 z; STL down 1.41 z; FG down 0.98 z; 2P down 0.86 z; 2PA down 0.84 z
Nikola Vučević,Interior Bigs,Defensive Rim Protectors,TRUE,3,1,DRB down 1.14 z; TRB down 1.11 z; FG down 1.06 z; 2P down 0.94 z; STL down 0.88 z,Archetype changed; biggest standardized shifts: DRB down 1.14 z; TRB down 1.11 z; FG down 1.06 z; 2P down 0.94 z; STL down 0.88 z
OG Anunoby,Versatile Two-Way Forwards,Perimeter Shooters and Secondary Guards,TRUE,6,2,FGA down 0.77 z; 2PA down 0.74 z; FG down 0.69 z; 2P down 0.62 z; BLK down 0.60 z,Archetype changed; biggest standardized shifts: FGA down 0.77 z; 2PA down 0.74 z; FG down 0.69 z; 2P down 0.62 z; BLK down 0.60 z
RJ Barrett,Versatile Two-Way Forwards,Perimeter Shooters and Secondary Guards,TRUE,6,2,TOV down 1.18 z; AST down 0.87 z; Trp-Dbl down 0.65 z; 2PA down 0.61 z; FGA down 0.58 z,Archetype changed; biggest standardized shifts: TOV down 1.18 z; AST down 0.87 z; Trp-Dbl down 0.65 z; 2PA down 0.61 z; FGA down 0.58 z
Russell Westbrook,Versatile Two-Way Forwards,Perimeter Shooters and Secondary Guards,TRUE,6,2,Trp-Dbl down 1.30 z; PF down 1.03 z; STL down 0.89 z; BLK down 0.80 z; 3PA up 0.54 z,Archetype changed; biggest standardized shifts: Trp-Dbl down 1.30 z; PF down 1.03 z; STL down 0.89 z; BLK down 0.80 z; 3PA up 0.54 z
Scottie Barnes,Versatile Two-Way Forwards,Interior Bigs,TRUE,6,3,PF up 2.39 z; BLK up 1.89 z; 2P up 0.79 z; STL up 0.74 z; ORB up 0.73 z,Archetype changed; biggest standardized shifts: PF up 2.39 z; BLK up 1.89 z; 2P up 0.79 z; STL up 0.74 z; ORB up 0.73 z
Shaedon Sharpe,Versatile Two-Way Forwards,Perimeter Shooters and Secondary Guards,TRUE,6,2,3PA down 1.04 z; FGA down 0.81 z; FG down 0.75 z; DRB down 0.70 z; 3P down 0.66 z,Archetype changed; biggest standardized shifts: 3PA down 1.04 z; FGA down 0.81 z; FG down 0.75 z; DRB down 0.70 z; 3P down 0.66 z
Stephen Curry,Primary Shot Creators,Perimeter Shooters and Secondary Guards,TRUE,7,2,3P down 1.93 z; 3PA down 1.85 z; FGA down 1.59 z; AST down 1.51 z; TOV down 1.38 z,Archetype changed; biggest standardized shifts: 3P down 1.93 z; 3PA down 1.85 z; FGA down 1.59 z; AST down 1.51 z; TOV down 1.38 z
Tari Eason,Defensive Rim Protectors,Low-Usage Role Players,TRUE,1,4,STL down 0.98 z; BLK down 0.66 z; 3P up 0.52 z; 3PA up 0.46 z; 2P down 0.44 z,Archetype changed; biggest standardized shifts: STL down 0.98 z; BLK down 0.66 z; 3P up 0.52 z; 3PA up 0.46 z; 2P down 0.44 z
Tim Hardaway Jr.,Low-Usage Role Players,Perimeter Shooters and Secondary Guards,TRUE,4,2,3P up 0.89 z; 3PA up 0.59 z; FG up 0.52 z; FTA up 0.44 z; FT up 0.34 z,Archetype changed; biggest standardized shifts: 3P up 0.89 z; 3PA up 0.59 z; FG up 0.52 z; FTA up 0.44 z; FT up 0.34 z
Tobias Harris,Defensive Rim Protectors,Low-Usage Role Players,TRUE,1,4,BLK down 1.06 z; PF down 0.78 z; DRB down 0.74 z; STL down 0.68 z; TRB down 0.62 z,Archetype changed; biggest standardized shifts: BLK down 1.06 z; PF down 0.78 z; DRB down 0.74 z; STL down 0.68 z; TRB down 0.62 z
Toumani Camara,Defensive Rim Protectors,Perimeter Shooters and Secondary Guards,TRUE,1,2,3PA up 1.43 z; 3P up 1.37 z; STL down 1.01 z; ORB down 0.71 z; TOV up 0.67 z,Archetype changed; biggest standardized shifts: 3PA up 1.43 z; 3P up 1.37 z; STL down 1.01 z; ORB down 0.71 z; TOV up 0.67 z
Tyrese Maxey,Perimeter Shooters and Secondary Guards,Primary Shot Creators,TRUE,2,7,STL up 1.64 z; FG up 1.49 z; FGA up 1.41 z; 2PA up 1.25 z; 2P up 1.19 z,Archetype changed; biggest standardized shifts: STL up 1.64 z; FG up 1.49 z; FGA up 1.41 z; 2PA up 1.25 z; 2P up 1.19 z
Victor Wembanyama,Defensive Rim Protectors,Interior Bigs,TRUE,1,3,FTA up 2.05 z; FT up 2.04 z; DRB up 1.42 z; TRB up 1.29 z; PF up 1.22 z,Archetype changed; biggest standardized shifts: FTA up 2.05 z; FT up 2.04 z; DRB up 1.42 z; TRB up 1.29 z; PF up 1.22 z
Aaron Nesmith,Low-Usage Role Players,Low-Usage Role Players,FALSE,4,4,3PA up 0.52 z; FGA up 0.46 z; TOV up 0.45 z; STL down 0.31 z; 3P up 0.31 z,Archetype stayed the same; biggest standardized shifts: 3PA up 0.52 z; FGA up 0.46 z; TOV up 0.45 z; STL down 0.31 z; 3P up 0.31 z
